OTUId	C7.3	E4.6	G8.5	C7.4	E4.1	E4.8	E4.3	E4.2	E4.4	C7.5	G8.1	G8.4	C7.2	E4.9	C7.1	E4.7	G8.3	E4.10	E4.5	G8.2
OTU_96;size=1912;	219	3	83	204	20	1	247	170	8	199	29	75	5	33	227	28	768	73	146	80
OTU_160;size=619;	2	2	2	76	4	2	123	5	136	163	102	6	2	16	3	236	1	2	1	2
OTU_119;size=1533;	4	287	9	5	3	9	130	3	3	183	1285	2	2	7	2	22	3	3	100	2
OTU_280;size=253;	0	0	2	19	17	0	0	1	11	1	16	97	0	0	172	1	0	0	34	1
OTU_1058;size=12;	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_219;size=326;	1	3	53	13	11	1	1	1	45	0	13	30	0	64	182	8	59	4	8	0
OTU_1232;size=104;	6	17	4	54	7	3	32	14	20	1	2	13	31	25	27	25	9	40	14	15
OTU_71;size=2241;	5	3	4	3	5	6	1	313	4	9	163	9	4	895	388	6	11	152	543	401
OTU_123;size=2952;	1	10	565	173	49	11	9	3	188	2503	26	10	3	426	3	6	6	8	15	2
OTU_290;size=441;	3	21	74	30	6	1	5	1	1	5	96	78	49	87	16	20	68	92	5	15
OTU_161;size=621;	1	25	10	13	4	0	77	559	2	3	3	5	1	36	76	3	3	1	1	1
OTU_1305;size=101;	1	8	140	96	4	1	0	42	0	11	22	68	7	7	33	123	19	228	2	3
OTU_142;size=893;	157	1	312	32	248	1	7	42	76	7	9	3	0	78	7	7	187	4	40	12
OTU_827;size=28;	1	1	0	1	0	0	0	0	0	0	0	0	45	0	1	0	1	0	0	0
OTU_1422;size=102;	8	1	4	234	5	1	258	47	1	8	269	3	11	4	7	22	8	44	61	2
OTU_303;size=228;	0	27	5	4	0	2	1	1	5	3	117	235	0	1	3	2	0	2	0	0
OTU_143;size=827;	68	86	142	4	259	4	1	115	127	2	0	103	2	3	83	54	4	58	2	1
OTU_146;size=719;	2	2	3	4	1	2	1	1	1	0	2	4	1	1	1	3	941	2	2	1
OTU_555;size=62;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	94
OTU_1362;size=7;	0	0	0	0	0	1	0	0	0	0	11	0	0	0	3	0	2	0	0	0
OTU_270;size=230;	0	0	0	1	0	0	5	1	3	324	2	9	0	0	0	0	0	0	0	0
OTU_354;size=156;	1	1	208	4	0	0	0	3	5	1	1	2	0	3	1	0	1	1	1	1
OTU_50;size=3068;	44	3	4	3	3	2	5	8	2	3524	18	6	8	4	28	7	13	7	1	3
OTU_367;size=146;	0	0	1	1	0	1	1	0	0	0	0	2	1	195	0	0	0	0	23	0
OTU_85;size=3233;	101	204	119	191	147	11	182	389	154	144	128	83	71	163	315	390	364	417	79	261
OTU_1100;size=16;	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_229;size=767;	88	0	2	8	103	5	10	77	129	25	2	103	27	98	21	196	66	20	78	48
OTU_1455;size=91;	7	0	119	5	211	14	57	58	130	218	174	26	78	24	97	128	230	40	50	29
OTU_682;size=67;	0	0	0	1	0	0	0	0	1	0	112	1	0	1	0	0	0	1	0	0
OTU_105;size=1658;	175	37	203	278	288	5	95	75	180	64	151	106	1	73	6	12	102	67	119	21
OTU_276;size=467;	301	1	128	1	2	2	2	3	22	5	1	2	0	3	168	2	1	4	52	0
OTU_365;size=302;	4	2	43	216	357	3	2	4	226	25	10	11	4	187	84	9	4	9	3	48
OTU_844;size=25;	0	0	0	1	0	0	0	0	39	0	0	2	0	0	0	0	0	0	0	0
OTU_89;size=1431;	0	0	3	4	1	3	1	1	0	2	2	5	1	3	4	1750	0	0	2	3
OTU_197;size=394;	277	1	2	241	2	0	0	0	1	3	1	2	1	1	2	3	4	1	3	1
OTU_311;size=256;	2	3	11	1	1	1	40	22	9	92	2	2	3	1	3	138	92	2	0	1
OTU_207;size=381;	1	22	37	165	0	4	1	0	0	48	1	152	0	8	43	20	8	3	0	43
OTU_635;size=60;	0	0	0	0	1	0	0	1	0	0	0	0	0	86	0	1	2	0	0	0
OTU_339;size=187;	1	0	0	0	0	0	0	0	1	1	0	0	0	0	265	1	0	0	0	0
OTU_254;size=425;	3	1	0	1	0	1	24	2	0	1	3	2	0	1	1	3	584	1	2	0
OTU_205;size=392;	2	0	2	0	531	0	0	1	0	0	1	6	0	0	2	2	1	0	1	3
OTU_358;size=138;	1	0	0	0	0	0	0	0	0	199	0	1	0	1	0	1	0	0	0	0
OTU_79;size=3165;	8	6	12	15	5	6	61	3725	4	4	28	66	4	1	15	11	15	9	77	3
