OTUId	C7.3	E4.6	G8.5	C7.4	E4.1	E4.8	E4.3	E4.2	E4.4	C7.5	G8.1	G8.4	C7.2	E4.9	C7.1	E4.7	G8.3	E4.10	E4.5	G8.2
OTU_315;size=202;	0	0	0	0	1	0	0	3	3	1	2	0	1	219	1	42	1	15	6	0
OTU_1247;size=40;	0	1	0	10	1	0	0	0	0	13	0	0	1	0	16	0	4	31	0	0
OTU_1316;size=38;	0	78	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0
OTU_482;size=78;	1	1	116	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
OTU_810;size=106;	1	50	18	2	1	1	0	89	0	2	0	3	0	0	2	2	3	3	3	0
OTU_995;size=22;	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	31	0	0	2
OTU_423;size=131;	0	1	1	0	0	0	1	0	1	0	0	1	0	0	208	1	0	1	0	1
OTU_1268;size=5;	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_491;size=81;	1	0	1	0	2	0	24	0	0	0	0	0	2	0	0	94	0	0	0	0
OTU_1386;size=5;	0	0	1	0	1	0	0	0	0	1	0	0	0	67	0	0	0	2	0	0
OTU_1069;size=12;	1	0	0	0	0	0	27	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1530;size=2;	0	0	3	1	2	0	1	0	0	1	0	1	0	0	0	0	2	0	3	1
OTU_366;size=329;	9	5	11	11	4	2	88	10	9	7	5	8	11	8	14	104	9	11	9	12
OTU_1463;size=8;	1	2	0	0	2	0	11	12	13	0	0	0	0	8	0	0	3	8	10	32
OTU_950;size=29;	0	0	0	1	0	0	41	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_1173;size=10;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	16	0	0
OTU_1332;size=11;	0	5	0	2	0	0	1	9	1	6	2	0	3	5	1	0	0	2	1	2
OTU_791;size=29;	1	0	3	0	0	0	0	3	0	0	0	41	0	0	0	0	1	0	0	0
OTU_383;size=125;	0	0	0	1	168	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU_1533;size=4;	0	5	0	0	8	0	5	0	1	0	0	0	3	0	1	0	1	0	1	0
OTU_457;size=91;	2	0	0	0	0	0	0	0	121	0	0	0	0	1	0	35	0	0	0	0
OTU_1064;size=12;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
OTU_238;size=434;	0	0	0	0	1	0	0	0	2	0	0	379	0	0	0	0	0	0	0	1
OTU_1346;size=6;	0	0	0	0	0	0	4	0	1	0	1	0	0	1	0	0	1	4	0	0
OTU_412;size=239;	164	0	1	3	0	0	0	2	1	41	2	28	0	0	3	1	123	0	0	1
OTU_419;size=186;	1	18	119	2	19	3	0	1	0	3	2	1	0	2	7	29	1	1	1	0
OTU_805;size=51;	0	0	0	0	0	0	0	0	0	91	0	1	0	0	1	1	1	0	0	0
OTU_809;size=30;	1	0	0	46	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU_565;size=117;	0	0	36	1	1	1	18	1	0	29	1	65	4	7	1	11	1	2	1	0
OTU_765;size=34;	0	0	0	0	0	0	0	0	0	0	1	0	45	0	0	0	0	0	0	0
OTU_1371;size=4;	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1352;size=16;	0	0	0	0	10	0	0	0	0	1	0	0	0	29	0	0	0	0	0	2
OTU_1496;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
OTU_539;size=85;	1	0	0	2	0	1	0	0	0	1	0	1	36	1	91	0	0	0	0	1
OTU_1299;size=5;	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0
OTU_872;size=22;	0	1	0	0	0	0	0	0	0	30	0	0	0	0	0	4	0	0	0	0
OTU_1075;size=12;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
OTU_1007;size=18;	0	0	0	0	0	0	0	0	0	28	0	1	0	0	0	0	0	0	0	0
OTU_1284;size=7;	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0
OTU_1208;size=7;	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
OTU_637;size=72;	0	1	0	0	0	0	2	0	0	1	0	3	31	83	0	1	0	1	0	0
OTU_1009;size=17;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	28	0	0
OTU_1341;size=4;	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0
OTU_757;size=43;	0	0	0	0	0	0	0	0	0	0	73	1	0	0	0	0	0	0	0	0
OTU_705;size=41;	0	0	32	0	1	1	0	0	26	0	0	0	0	0	0	3	0	1	0	0
OTU_581;size=64;	0	0	1	102	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_363;size=136;	2	0	0	0	1	0	2	103	0	1	1	47	48	1	2	2	1	0	2	0
OTU_1054;size=20;	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
OTU_650;size=49;	0	0	1	1	0	0	0	24	0	0	0	0	4	0	2	1	0	52	0	0
OTU_687;size=41;	0	0	1	0	0	0	0	0	0	61	1	0	0	0	1	1	0	0	0	0
OTU_836;size=32;	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	62	0	1
OTU_551;size=66;	0	0	0	0	0	0	0	0	0	0	1	108	0	0	1	0	1	0	0	0
OTU_564;size=70;	1	0	101	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0
OTU_355;size=148;	0	0	2	0	0	1	2	0	1	0	0	218	1	0	0	0	0	1	0	0
OTU_1119;size=19;	0	0	0	0	0	1	0	0	0	19	0	1	0	0	0	8	0	0	0	0
OTU_942;size=18;	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	27	0	0
OTU_1564;size=2;	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_965;size=38;	0	5	0	0	1	0	1	0	14	0	0	0	0	17	0	1	1	1	16	5
OTU_915;size=24;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	35	0	0
OTU_467;size=82;	0	0	1	0	0	0	10	0	0	0	0	102	0	0	2	0	1	0	0	0
OTU_1426;size=17;	14	0	8	1	8	3	6	4	2	8	4	9	5	4	17	9	4	4	9	2
OTU_671;size=45;	0	0	0	32	0	0	5	0	0	0	22	1	0	11	0	0	0	0	0	0
OTU_618;size=52;	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	43	0	0	31	0
OTU_675;size=49;	1	0	1	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1467;size=2;	0	6	0	2	0	0	5	0	1	3	2	1	0	0	2	0	0	2	3	0
OTU_817;size=55;	0	0	0	0	0	0	0	0	0	0	1	71	0	0	0	0	0	0	0	0
OTU_842;size=25;	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	1	0
OTU_882;size=38;	0	0	0	0	1	0	0	1	0	55	1	0	0	0	1	0	0	1	1	0
OTU_745;size=34;	0	0	0	0	0	1	0	0	0	0	0	0	0	0	53	0	0	0	0	0
OTU_849;size=24;	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31
OTU_469;size=78;	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	107	0
OTU_1336;size=4;	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_751;size=33;	11	0	16	0	0	0	1	0	0	12	1	0	0	1	0	1	3	0	0	12
OTU_559;size=80;	0	0	18	0	0	1	0	0	2	0	0	0	0	0	0	100	0	0	0	0
OTU_703;size=39;	0	0	0	1	0	0	5	0	24	0	0	13	0	0	0	0	0	1	20	0
OTU_737;size=41;	1	0	0	1	0	0	0	0	0	0	11	0	0	0	0	10	48	0	0	0
OTU_821;size=37;	1	1	60	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_531;size=67;	0	0	0	0	0	0	0	0	1	103	0	0	0	0	0	0	0	0	0	0
OTU_1124;size=12;	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_754;size=37;	56	0	1	1	2	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0
OTU_560;size=70;	2	0	94	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1
OTU_591;size=57;	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	87	1	0	0	0
OTU_1073;size=67;	1	4	0	2	6	0	2	0	0	0	0	0	139	0	1	0	0	0	6	1
OTU_1398;size=3;	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1381;size=14;	0	0	0	0	0	0	11	33	0	0	0	0	0	1	0	0	0	0	3	0
OTU_1112;size=21;	0	0	0	0	11	0	21	0	0	0	1	0	0	1	0	0	0	1	0	0
OTU_905;size=26;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
OTU_936;size=19;	0	0	1	1	0	0	0	0	0	0	0	0	0	0	32	0	1	0	0	0
OTU_1570;size=4;	0	2	0	0	0	0	2	3	0	0	0	0	0	4	0	0	0	0	2	1
OTU_820;size=43;	0	0	0	0	0	0	0	0	60	0	1	0	0	7	0	0	0	0	0	0
OTU_527;size=64;	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	90
OTU_912;size=20;	0	0	0	29	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU_1099;size=13;	0	0	0	0	0	1	0	0	0	1	0	16	1	0	0	0	0	0	0	0
OTU_1521;size=6;	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
OTU_653;size=83;	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	123	0	0
OTU_674;size=50;	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	76	0	0
OTU_398;size=117;	1	0	1	1	1	2	3	0	0	0	0	0	0	0	0	176	0	1	1	0
OTU_1063;size=12;	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_848;size=25;	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0
OTU_396;size=105;	0	23	0	68	0	0	1	29	40	1	0	1	0	0	1	15	0	0	1	0
OTU_681;size=47;	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	74	0	0	0	0
OTU_601;size=60;	0	0	1	0	0	0	0	0	0	0	0	0	1	0	89	2	1	0	0	0
OTU_1331;size=4;	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
OTU_876;size=22;	1	0	0	0	1	0	0	0	0	0	0	36	0	0	0	1	0	0	1	0
OTU_974;size=17;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
OTU_714;size=42;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	65	0	0	0
OTU_1401;size=21;	3	14	0	2	1	0	5	7	0	2	2	0	4	30	0	1	0	4	4	10
OTU_538;size=78;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	1	0	0	0
OTU_1193;size=9;	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
OTU_606;size=96;	0	0	1	0	1	1	0	0	1	0	0	130	9	0	0	0	0	0	0	0
OTU_1166;size=9;	0	0	1	16	0	0	2	0	0	1	0	0	0	0	1	0	0	0	2	3
OTU_1413;size=3;	0	0	0	1	0	0	0	0	0	9	0	0	2	0	7	0	0	1	0	1
OTU_1013;size=19;	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	1	0	0	0	0
OTU_1469;size=4;	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	10	1	0
OTU_1237;size=6;	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1091;size=11;	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0
OTU_796;size=29;	1	0	0	0	0	1	1	0	40	0	0	0	0	0	0	0	0	0	0	0
OTU_672;size=48;	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0
OTU_1481;size=2;	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU_787;size=32;	1	0	0	0	0	0	0	1	1	52	0	1	0	0	1	0	0	0	0	1
OTU_579;size=58;	0	0	1	1	2	0	0	0	0	0	102	0	0	1	1	0	0	1	0	0
OTU_726;size=36;	0	0	57	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
OTU_523;size=70;	0	0	1	0	0	0	1	0	0	0	0	95	1	0	0	1	1	2	2	0
OTU_1139;size=10;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0
OTU_955;size=18;	0	0	0	0	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	0
OTU_1097;size=11;	0	0	0	0	0	0	0	16	3	0	1	0	0	0	0	0	0	0	0	0
OTU_985;size=18;	18	0	0	0	3	0	2	0	0	0	0	0	1	0	5	0	0	1	2	0
OTU_892;size=25;	7	0	1	0	0	0	4	0	0	0	1	25	0	2	0	0	0	7	5	0
OTU_943;size=18;	1	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_1326;size=4;	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_683;size=50;	0	0	0	37	0	0	0	2	0	1	0	0	33	0	0	0	0	0	4	0
OTU_1090;size=11;	1	1	3	7	7	0	3	8	0	0	1	3	3	3	1	13	2	1	1	2
OTU_866;size=25;	0	0	38	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0
OTU_715;size=39;	0	0	0	1	0	0	0	0	0	1	0	48	0	0	0	0	0	0	0	0
OTU_1030;size=26;	0	0	0	0	1	0	20	2	21	0	0	1	0	0	1	0	0	0	0	0
OTU_1397;size=13;	0	8	0	0	3	0	1	14	1	0	0	0	2	26	3	1	0	0	2	2
OTU_1109;size=14;	0	0	0	0	0	0	0	0	23	0	0	0	0	0	1	0	0	0	0	0
OTU_1484;size=2;	1	0	1	1	0	0	1	1	1	16	1	1	3	0	18	0	0	0	0	0
OTU_1355;size=4;	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_520;size=72;	1	0	0	0	0	0	0	0	0	4	1	0	1	15	0	1	1	63	25	0
OTU_1174;size=12;	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0	0	1	0	0	0
OTU_1132;size=10;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
OTU_1120;size=23;	0	0	2	0	0	0	1	0	0	0	41	0	0	0	0	0	0	0	0	0
OTU_628;size=48;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	1	0
OTU_1293;size=70;	2	29	3	4	4	1	34	34	13	0	4	4	8	42	5	2	1	15	11	15
OTU_894;size=23;	0	0	0	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_789;size=30;	0	0	0	0	0	0	2	0	0	0	49	0	0	0	0	0	0	1	0	0
OTU_725;size=38;	0	0	0	0	1	0	0	0	1	0	0	0	0	0	58	0	0	0	0	0
OTU_1024;size=14;	1	0	0	0	0	0	0	0	0	1	22	1	0	0	0	0	0	0	0	0
OTU_1002;size=23;	0	0	0	13	0	0	1	0	0	0	23	0	0	0	0	0	0	0	0	0
OTU_1449;size=3;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
OTU_1598;size=2;	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	24
OTU_660;size=45;	0	0	0	1	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0
OTU_1113;size=10;	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
OTU_577;size=64;	1	0	0	0	1	0	0	0	0	9	0	1	0	24	2	1	74	0	0	1
OTU_978;size=18;	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_869;size=37;	0	0	1	1	1	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0
OTU_506;size=72;	0	0	0	0	0	0	0	0	30	0	0	0	0	70	1	1	0	0	10	0
OTU_1079;size=14;	0	0	0	0	2	0	0	1	0	0	1	0	0	16	0	0	0	1	0	0
OTU_784;size=52;	3	7	10	13	0	0	3	5	1	1	1	2	2	0	5	8	4	4	0	2
OTU_652;size=67;	0	66	0	0	0	0	0	0	40	0	0	0	0	0	1	1	0	0	1	0
OTU_605;size=100;	16	0	0	70	1	0	0	2	0	62	0	0	0	0	0	0	1	2	0	0
OTU_521;size=68;	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	99
OTU_771;size=34;	1	0	1	0	0	0	0	0	0	0	64	0	0	0	0	1	0	0	0	0
OTU_666;size=52;	0	0	0	0	0	0	0	0	0	0	1	0	0	0	85	1	0	1	0	0
OTU_808;size=32;	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_721;size=46;	0	3	0	3	0	0	0	0	0	1	0	0	0	0	64	0	0	0	0	0
OTU_450;size=85;	0	0	0	140	1	0	1	3	0	1	0	1	0	1	0	0	0	0	0	0
OTU_667;size=61;	29	0	0	1	0	1	0	0	0	0	63	0	1	0	0	0	1	0	0	0
OTU_1111;size=10;	0	0	0	2	20	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
OTU_641;size=48;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0
OTU_613;size=68;	2	0	6	23	0	0	0	1	0	0	0	68	1	0	0	1	0	11	0	0
OTU_573;size=60;	1	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	86	0	0	0
OTU_1347;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
OTU_1065;size=15;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
OTU_479;size=198;	0	1	2	3	1	0	55	41	28	105	0	3	2	1	1	1	0	0	47	1
OTU_761;size=35;	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	43
OTU_390;size=108;	0	1	98	1	1	2	0	1	0	1	2	1	0	1	0	1	0	71	0	0
OTU_440;size=89;	0	0	1	1	1	0	121	0	1	0	1	1	0	0	0	1	2	3	1	0
OTU_1101;size=11;	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1319;size=18;	0	0	21	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0
OTU_920;size=22;	0	0	0	0	0	0	0	0	32	5	0	1	0	0	0	0	0	0	0	0
OTU_792;size=31;	0	0	0	0	0	1	0	1	1	0	0	0	0	0	39	4	1	1	1	0
OTU_863;size=33;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	1
OTU_889;size=37;	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	53	0
OTU_1087;size=13;	8	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_843;size=36;	0	0	0	0	1	0	0	1	0	0	0	0	0	0	64	1	1	0	0	0
OTU_1267;size=32;	9	10	0	6	6	0	5	11	2	2	0	0	1	18	3	3	0	14	10	15
OTU_1046;size=13;	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_944;size=18;	36	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_753;size=33;	0	0	0	1	0	1	0	0	0	23	0	23	0	0	0	0	0	1	0	0
OTU_788;size=32;	0	0	0	1	0	1	0	0	51	1	2	0	0	0	0	0	0	0	0	0
OTU_800;size=32;	49	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU_639;size=50;	0	0	0	1	0	0	0	0	74	0	0	2	0	0	2	0	0	0	0	1
OTU_1235;size=6;	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1552;size=66;	2	0	0	0	1	0	0	0	1	0	0	1	4	0	161	2	0	1	0	0
OTU_735;size=35;	0	0	0	0	0	0	0	0	55	1	0	0	0	0	1	0	0	0	0	0
OTU_1194;size=7;	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	10
OTU_1313;size=21;	1	0	3	6	0	0	0	1	0	27	1	0	7	0	16	0	0	1	0	1
OTU_393;size=116;	169	1	0	0	0	0	0	0	1	0	1	1	2	0	0	3	0	0	0	0
OTU_816;size=42;	0	0	0	0	1	1	0	0	0	63	0	0	0	0	0	0	0	0	0	0
OTU_972;size=35;	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	64	0	0	0	0
OTU_973;size=19;	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	0	0	0	0
OTU_993;size=17;	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
OTU_1282;size=5;	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
OTU_1020;size=14;	0	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_612;size=72;	1	0	0	1	0	0	0	0	1	1	0	105	5	0	0	0	0	1	0	14
OTU_924;size=19;	32	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
OTU_1348;size=12;	0	0	66	0	1	0	0	0	0	0	0	1	8	41	1	0	4	0	0	0
OTU_1315;size=4;	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU_846;size=36;	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0
OTU_623;size=51;	0	0	0	0	0	0	0	0	0	0	3	78	0	0	0	0	0	0	0	0
OTU_1280;size=9;	1	0	0	0	0	0	0	0	1	2	0	0	0	5	2	0	0	0	0	0
OTU_1553;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
OTU_446;size=94;	1	0	143	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
OTU_640;size=50;	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	81	0
OTU_511;size=81;	0	0	1	118	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_404;size=116;	0	0	0	0	0	1	9	0	48	2	1	0	0	1	0	3	0	0	0	103
OTU_930;size=19;	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	1	0	0	0
OTU_657;size=46;	0	0	0	0	1	0	0	0	0	1	1	2	79	0	1	0	0	0	0	0
OTU_1126;size=10;	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0
OTU_839;size=27;	0	0	0	0	0	0	0	1	0	1	50	0	0	0	0	0	0	0	0	0
OTU_556;size=60;	1	0	85	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU_931;size=22;	0	0	0	1	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0
OTU_552;size=64;	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	91	1	0	0	0
OTU_926;size=23;	0	30	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_501;size=80;	0	0	0	0	1	0	0	0	0	1	0	1	1	0	139	2	0	0	0	1
OTU_659;size=56;	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	101	0	1	0	0
OTU_997;size=17;	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	0	0	0	0
OTU_1324;size=6;	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
OTU_568;size=73;	0	0	0	1	1	0	0	1	0	2	0	0	0	0	130	0	2	0	1	0
OTU_540;size=69;	0	0	0	1	0	0	0	0	0	0	2	107	0	1	1	1	0	1	0	1
OTU_1359;size=4;	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_763;size=35;	0	0	0	1	60	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU_773;size=39;	0	0	2	10	1	0	0	4	1	0	42	1	1	1	0	0	0	0	0	0
OTU_922;size=24;	0	0	0	1	0	0	0	0	1	0	0	0	45	0	1	0	0	0	0	0
OTU_1050;size=15;	0	0	0	0	0	0	0	0	0	30	1	0	0	0	0	0	0	0	0	0
OTU_468;size=108;	1	26	0	0	0	0	1	0	0	0	0	1	0	0	0	132	0	0	0	0
OTU_887;size=24;	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	30	0	0	0	0
OTU_620;size=51;	0	1	75	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1184;size=8;	1	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
OTU_898;size=34;	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	50	0	0
OTU_835;size=27;	44	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
OTU_960;size=17;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
OTU_545;size=70;	1	0	0	0	0	1	0	0	0	0	107	0	0	0	1	0	0	1	0	0
OTU_818;size=31;	41	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_990;size=22;	0	33	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0
OTU_954;size=18;	0	0	0	1	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0
OTU_837;size=25;	0	0	0	0	2	0	0	0	0	0	37	0	0	0	0	1	0	0	0	0
OTU_1021;size=14;	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	18	1	0
OTU_1029;size=14;	0	0	20	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
OTU_589;size=66;	0	0	0	91	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0
OTU_868;size=23;	0	0	0	0	1	0	1	0	0	0	36	0	0	0	0	0	0	0	0	0
OTU_1037;size=13;	0	0	1	0	0	0	0	0	19	0	0	0	0	0	1	0	0	0	0	1
OTU_929;size=26;	0	0	0	1	30	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
OTU_1185;size=8;	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
OTU_881;size=22;	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
OTU_489;size=83;	1	0	0	0	0	0	1	1	0	1	120	1	0	0	0	2	0	0	0	2
OTU_1459;size=12;	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
OTU_550;size=62;	1	0	0	0	0	0	0	0	0	96	0	0	0	0	0	1	0	1	0	0
OTU_747;size=47;	1	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	1	0	0	0
OTU_668;size=57;	0	48	0	2	0	0	0	41	0	0	0	0	1	0	1	1	1	0	1	1
OTU_855;size=26;	0	42	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
OTU_1273;size=5;	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_576;size=62;	0	0	1	0	0	0	0	0	0	0	101	0	0	0	2	1	0	0	0	0
OTU_1223;size=7;	0	0	0	0	1	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1072;size=12;	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_867;size=25;	0	0	2	27	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
OTU_1015;size=40;	1	0	0	0	7	0	0	0	13	0	0	1	3	38	0	0	1	0	1	0
OTU_801;size=32;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
